epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1801,1.70828,3.7227,1.60905,0.37005,0.38506,0.28562,0.13897,1.7505,4.31928,1.76249,0.000647059,0.000647059,0.000647059
2,27.1747,1.6707,1.99963,1.58715,0.00177,0.16954,0.001,0.00036,3.74546,inf,9.68774,0.00128771,0.00128771,0.00128771
3,38.7063,1.70561,1.91145,1.62513,0.00318,0.25862,0.00191,0.00051,3.64656,inf,18.2186,0.00190197,0.00190197,0.00190197
4,50.1772,1.70034,1.76092,1.6123,0.2235,0.32092,0.15938,0.06568,2.0039,13.5296,2.18883,0.0018812,0.0018812,0.0018812
5,61.4424,1.6811,1.64387,1.58437,0.28208,0.20977,0.15066,0.06664,2.58441,3.71596,2.69117,0.0018416,0.0018416,0.0018416
6,71.9446,1.63597,1.65007,1.51693,0.46166,0.34483,0.32587,0.16798,1.86789,3.23238,1.8483,0.001802,0.001802,0.001802
7,82.5136,1.59179,1.52739,1.50641,0.62689,0.51437,0.55436,0.28428,1.72244,2.22878,1.67784,0.0017624,0.0017624,0.0017624
8,92.9946,1.54252,1.48416,1.47787,0.52413,0.4454,0.47097,0.24237,1.70879,2.21801,1.69433,0.0017228,0.0017228,0.0017228
9,103.727,1.51411,1.4111,1.47798,0.55944,0.50287,0.51593,0.25573,1.66538,1.94809,1.6391,0.0016832,0.0016832,0.0016832
10,117.899,1.48722,1.38467,1.45118,0.66006,0.47126,0.55197,0.31078,1.63691,1.73871,1.62465,0.0016436,0.0016436,0.0016436
11,131.218,1.4447,1.36042,1.41277,0.55727,0.40805,0.46885,0.24069,1.71004,1.83783,1.70513,0.001604,0.001604,0.001604
12,142.574,1.45435,1.35737,1.42063,0.59324,0.48616,0.517,0.27668,1.64162,1.5866,1.55924,0.0015644,0.0015644,0.0015644
13,155.251,1.40076,1.30129,1.38334,0.69613,0.52586,0.63158,0.36279,1.45622,1.51846,1.43653,0.0015248,0.0015248,0.0015248
14,168.154,1.42681,1.26651,1.39103,0.68447,0.59483,0.6538,0.3571,1.58338,1.36925,1.51739,0.0014852,0.0014852,0.0014852
15,180.48,1.38533,1.249,1.38674,0.71878,0.57759,0.64551,0.36353,1.53486,1.37175,1.48551,0.0014456,0.0014456,0.0014456
16,191.457,1.3907,1.23392,1.37009,0.61621,0.62644,0.63707,0.37382,1.45865,1.32672,1.43072,0.001406,0.001406,0.001406
17,203.127,1.32767,1.18582,1.32834,0.75665,0.56322,0.66598,0.38063,1.52587,1.34119,1.50084,0.0013664,0.0013664,0.0013664
18,215.315,1.35209,1.19382,1.34722,0.71816,0.62356,0.68912,0.39519,1.53003,1.33473,1.47723,0.0013268,0.0013268,0.0013268
19,226.841,1.29515,1.11663,1.31031,0.75397,0.58333,0.68993,0.41165,1.45491,1.2786,1.46299,0.0012872,0.0012872,0.0012872
20,238.11,1.28264,1.08136,1.30784,0.81391,0.58333,0.69758,0.42458,1.41217,1.23928,1.42262,0.0012476,0.0012476,0.0012476
21,249.954,1.29203,1.099,1.31435,0.74678,0.61494,0.6966,0.4075,1.46995,1.20283,1.43584,0.001208,0.001208,0.001208
22,261.606,1.27579,1.06173,1.29125,0.73495,0.6408,0.68994,0.4088,1.46713,1.31568,1.46589,0.0011684,0.0011684,0.0011684
23,272.895,1.24774,1.03196,1.28479,0.71956,0.64883,0.69873,0.42256,1.48248,1.16077,1.45697,0.0011288,0.0011288,0.0011288
24,284.97,1.25662,1.04196,1.28111,0.73207,0.64382,0.71034,0.4198,1.44665,1.17977,1.43616,0.0010892,0.0010892,0.0010892
25,298.075,1.24143,1.02729,1.27207,0.74657,0.6523,0.70838,0.43049,1.3792,1.12983,1.38906,0.0010496,0.0010496,0.0010496
26,310.58,1.23749,1.00482,1.27211,0.74287,0.68103,0.71882,0.42293,1.41334,1.17117,1.40241,0.00101,0.00101,0.00101
27,322.889,1.22425,1.01962,1.26064,0.73303,0.67529,0.73618,0.46025,1.38618,1.09101,1.37921,0.0009704,0.0009704,0.0009704
28,335.228,1.20632,0.97996,1.25139,0.78089,0.67593,0.75883,0.47781,1.36421,1.02946,1.37568,0.0009308,0.0009308,0.0009308
29,347.927,1.19535,0.99634,1.24783,0.74151,0.64368,0.71581,0.43774,1.42506,1.15741,1.42512,0.0008912,0.0008912,0.0008912
30,360.082,1.17578,0.93013,1.21402,0.7079,0.66854,0.72293,0.45131,1.4204,1.16369,1.42964,0.0008516,0.0008516,0.0008516
31,372.396,1.16988,0.90181,1.23041,0.73859,0.63218,0.696,0.41417,1.45672,1.12466,1.39731,0.000812,0.000812,0.000812
32,384.861,1.16962,0.90855,1.22882,0.80565,0.64655,0.74368,0.47728,1.3726,1.09744,1.36359,0.0007724,0.0007724,0.0007724
33,397.027,1.16723,0.90995,1.22617,0.79256,0.64368,0.73562,0.46207,1.37655,1.1335,1.38818,0.0007328,0.0007328,0.0007328
34,409.408,1.12509,0.87604,1.19456,0.78568,0.66364,0.75981,0.46911,1.37826,1.08827,1.40065,0.0006932,0.0006932,0.0006932
35,421.558,1.12346,0.87419,1.19322,0.73469,0.69253,0.74776,0.46746,1.38113,1.02272,1.4032,0.0006536,0.0006536,0.0006536
36,433.821,1.08038,0.82216,1.17083,0.77799,0.69253,0.77528,0.48387,1.35221,1.00623,1.3842,0.000614,0.000614,0.000614
37,445.995,1.09992,0.83133,1.21182,0.77399,0.69871,0.7636,0.48587,1.3926,1.04912,1.39792,0.0005744,0.0005744,0.0005744
38,458.356,1.08613,0.85943,1.17719,0.80065,0.704,0.79047,0.49077,1.33395,0.96644,1.32229,0.0005348,0.0005348,0.0005348
39,470.731,1.0808,0.81353,1.17649,0.78621,0.67633,0.77869,0.50024,1.3226,0.98143,1.33473,0.0004952,0.0004952,0.0004952
40,483.045,1.09258,0.81547,1.17351,0.79743,0.68678,0.77209,0.49361,1.34476,0.95023,1.38281,0.0004556,0.0004556,0.0004556
41,517.28,1.05674,0.81022,1.14996,0.81026,0.68391,0.77802,0.49296,1.32981,1.00548,1.33531,0.000416,0.000416,0.000416
42,527.972,0.99917,0.74173,1.11506,0.78425,0.65805,0.74675,0.4726,1.29868,1.00995,1.3114,0.0003764,0.0003764,0.0003764
43,540.983,0.9818,0.70303,1.08805,0.80941,0.68103,0.77246,0.48879,1.28879,0.98045,1.29186,0.0003368,0.0003368,0.0003368
44,556.568,0.96026,0.68406,1.09223,0.79953,0.70115,0.77908,0.48596,1.33764,0.98886,1.3221,0.0002972,0.0002972,0.0002972
45,571.256,0.9644,0.66755,1.09933,0.80246,0.72374,0.79434,0.51362,1.27468,0.93555,1.30658,0.0002576,0.0002576,0.0002576
46,592.475,0.93622,0.64121,1.06988,0.7722,0.71552,0.77869,0.50776,1.26866,0.9993,1.30889,0.000218,0.000218,0.000218
47,620.908,0.94238,0.62818,1.06943,0.81472,0.69253,0.78507,0.50946,1.27546,0.97172,1.31688,0.0001784,0.0001784,0.0001784
48,649.79,0.9047,0.61671,1.0593,0.82819,0.72031,0.80305,0.52156,1.24441,0.94286,1.3013,0.0001388,0.0001388,0.0001388
49,682.978,0.89787,0.60426,1.05658,0.82708,0.72126,0.80418,0.52045,1.23739,0.95397,1.29363,9.92e-05,9.92e-05,9.92e-05
50,700.604,0.85859,0.57868,1.02479,0.83462,0.71552,0.79701,0.51789,1.2238,0.93128,1.28238,5.96e-05,5.96e-05,5.96e-05
